bairro_origem,bairro_destino,logradouro,observacao,peso
San Martin,Torrões,Avenida Engenheiro Abdias de Carvalho,,1.0
Arruda,Tamarineira,Avenida Engenheiro Agamenon de Magalhães Melo,,1.0
Rosarinho,Tamarineira,Avenida Engenheiro Agamenon de Magalhães Melo,,1.0
Cabanga,São José,Avenida Engenheiro José Estelita,,1.0
Jiquiá,San Martin,Avenida General San Martin,,1.0
Boa Vista,Derby,Avenida Governador Agamenon Magalhães,,1.3
Boa Vista,Espinheiro,Avenida Governador Agamenon Magalhães,,1.3
Boa Vista,Graças,Avenida Governador Agamenon Magalhães,,1.3
Boa Vista,Ilha do Leite,Avenida Governador Agamenon Magalhães,,1.3
Boa Vista,Paissandu,Avenida Governador Agamenon Magalhães,,1.3
Boa Vista,Santo Amaro,Avenida Governador Agamenon Magalhães,,1.3
Derby,Paissandu,Avenida Governador Agamenon Magalhães,,1.3
Espinheiro,Santo Amaro,Avenida Governador Agamenon Magalhães,,1.3
Espinheiro,Torreão,Avenida Governador Agamenon Magalhães,,1.3
Ilha do Leite,Paissandu,Avenida Governador Agamenon Magalhães,,1.3
Beberibe,Dois Unidos,Avenida Hildebrando de Vasconcelos,,2.0
Dois Unidos,Linha do Tiro,Avenida Hildebrando de Vasconcelos,,2.0
Cidade Universitária,Várzea,Avenida Inácio de Barros Barreto,,2.0
Estância,San Martin,Avenida João Cabral de Melo Neto,,2.0
Jardim São Paulo,San Martin,Avenida João Cabral de Melo Neto,,2.0
Aflitos,Encruzilhada,Avenida João de Barros,,1.0
Encruzilhada,Espinheiro,Avenida João de Barros,,1.0
Santo Amaro,Soledade,Avenida João de Barros,,1.0
Macaxeira,Nova Descoberta,Avenida Josélia,,2.0
Curado,Sancho,Avenida Liberdade,,2.0
Curado,Totó,Avenida Liberdade,,2.0
Sancho,Tejipió,Avenida Liberdade,,2.0
Sancho,Totó,Avenida Liberdade,,2.0
Dois Irmãos,Sítio dos Pintos - São Brás,Avenida Luiz Antônio de Araújo,,2.0
Mangueira,Mustardinha,Avenida Manoel Goncalves da Luz,,1.0
Boa Viagem,Ibura,Avenida Marechal Mascarenhas de Moraes,,1.0
Boa Viagem,Jordão,Avenida Marechal Mascarenhas de Moraes,,1.0
Ibura,Imbiribeira,Avenida Marechal Mascarenhas de Moraes,,1.0
Cohab - Ibura de Cima,Jordão,Avenida Ministro Apolônio Sales,,2.0
Cidade Universitária,Engenho do Meio,Avenida Múcio Uchôa Cavalcanti,,1.0
Cidade Universitária,Iputinga,Avenida Múcio Uchôa Cavalcanti,,1.0
Cordeiro,Engenho do Meio,Avenida Múcio Uchôa Cavalcanti,,1.0
Engenho do Meio,Iputinga,Avenida Múcio Uchôa Cavalcanti,,1.0
Afogados,Mustardinha,Avenida Mustardinha,,2.0
Alto José do Pinho,Casa Amarela,Avenida Norte Miguel Arraes de Alencar,,1.3
Alto José do Pinho,Mangabeira,Avenida Norte Miguel Arraes de Alencar,,1.3
Alto José do Pinho,Morro da Conceição,Avenida Norte Miguel Arraes de Alencar,,1.3
Alto José do Pinho,Tamarineira,Avenida Norte Miguel Arraes de Alencar,,1.3
Alto do Mandu,Apipucos,Avenida Norte Miguel Arraes de Alencar,,1.3
Alto do Mandu,Macaxeira,Avenida Norte Miguel Arraes de Alencar,,1.3
Alto do Mandu,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,,1.3
Apipucos,Córrego do Jenipapo,Avenida Norte Miguel Arraes de Alencar,,1.3
Apipucos,Macaxeira,Avenida Norte Miguel Arraes de Alencar,,1.3
Casa Amarela,Mangabeira,Avenida Norte Miguel Arraes de Alencar,,1.3
Casa Amarela,Morro da Conceição,Avenida Norte Miguel Arraes de Alencar,,1.3
Casa Amarela,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,,1.3
Casa Amarela,Tamarineira,Avenida Norte Miguel Arraes de Alencar,,1.3
Casa Amarela,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,,1.3
Córrego do Jenipapo,Macaxeira,Avenida Norte Miguel Arraes de Alencar,,1.3
Córrego do Jenipapo,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,,1.3
Encruzilhada,Rosarinho,Avenida Norte Miguel Arraes de Alencar,,1.3
Encruzilhada,Torreão,Avenida Norte Miguel Arraes de Alencar,,1.3
Mangabeira,Tamarineira,Avenida Norte Miguel Arraes de Alencar,,1.3
Morro da Conceição,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,,1.3
Nova Descoberta,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,,1.3
Cajueiro,Campina do Barreto,Avenida Nova do Fundão,,1.3
Campina do Barreto,Fundão,Avenida Nova do Fundão,,1.3
Jaqueira,Parnamirim,Avenida Parnamirim,,1.0
Campina do Barreto,Peixinhos,Avenida Poeta Vinícius de Morais,,2.0
Ilha Joana Bezerra,Ilha do Retiro,Avenida Prefeito Lima Castro,,1.0
Arruda,Campo Grande,Avenida Professor José dos Anjos,,2.0
Arruda,Mangabeira,Avenida Professor José dos Anjos,,2.0
Arruda,Peixinhos,Avenida Professor José dos Anjos,,2.0
Campo Grande,Ponto de Parada,Avenida Professor José dos Anjos,,2.0
Ponto de Parada,Rosarinho,Avenida Professor José dos Anjos,,2.0
Ponto de Parada,Tamarineira,Avenida Professor José dos Anjos,,2.0
Cidade Universitária,Curado,Avenida Professor Luiz Freire,,1.0
Areias,Ipsep,Avenida Recife,,1.3
Caçote,Ibura,Avenida Recife,,1.3
Caçote,Ipsep,Avenida Recife,,1.3
Curado,Engenho do Meio,Avenida Recife,,1.3
Curado,San Martin,Avenida Recife,,1.3
Curado,Torrões,Avenida Recife,,1.3
Imbiribeira,Ipsep,Avenida Recife,,1.3
Aflitos,Rosarinho,Avenida Santos Dumont,,1.3
Encruzilhada,Graças,Avenida Santos Dumont,,1.3
Graças,Rosarinho,Avenida Santos Dumont,,1.3
Afogados,Cabanga,Avenida Sul Gov. Cid Sampaio,,2.3
Alto José Bonifácio,Brejo de Beberibe,Avenida Vereador Otacílio Azevedo,,2.0
Alto José Bonifácio,Vasco da Gama,Avenida Vereador Otacílio Azevedo,,2.0
Brejo de Beberibe,Vasco da Gama,Avenida Vereador Otacílio Azevedo,,2.0
Casa Amarela,Casa Forte,Estrada das Ubaias,,3.9
Campo Grande,Encruzilhada,Estrada de Belém,,3.0
Campo Grande,Hipódromo,Estrada de Belém,,3.0
Encruzilhada,Hipódromo,Estrada de Belém,,3.0
Afogados,Bongi,Estrada do Bongi Armando da Fonte,,6.0
Afogados,Prado,Estrada do Bongi Armando da Fonte,,6.0
Casa Amarela,Parnamirim,Estrada do Encanamento,,3.0
Casa Amarela,Poço,Estrada do Encanamento,,3.0
Guabiraba,Pau Ferro,Estrada do Orfanato,,6.0
Afogados,Ilha do Retiro,Estrada dos Remédios,,3.0
Arruda,Bomba do Hemetério,Estrada Velha de Água Fria,,3.0
Bomba do Hemetério,Água Fria,Estrada Velha de Água Fria,,3.0
Cabanga,Pina,Ponte Agamenon Magalhães,,2.0
Iputinga,Monteiro,Ponte Barqueiro Sinval Peixoto da Silva,,2.0
Recife,Santo Antônio,Ponte Buarque de Macedo,,2.0
Apipucos,Iputinga,Ponte de Apipucos,,2.0
Caxangá,Sítio dos Pintos - São Brás,Ponte do Bredo,,2.0
Recife,Santo Amaro,Ponte do Limoeiro,,2.0
Jaqueira,Santana,Ponte do Vintém,,2.0
Boa Vista,Santo Antônio,Ponte Duarte Coelho,,2.0
Derby,Madalena,Ponte Estácio Coimbra,,2.0
Recife,São José,Ponte Giratória,,2.0
Coelhos,Ilha Joana Bezerra,Ponte Joaquim Cardoso,,2.0
Ilha Joana Bezerra,Ilha do Leite,Ponte José Barros Lima,,2.0
Ilha Joana Bezerra,Paissandu,Ponte José de Barros lima,,2.0
Derby,Ilha do Retiro,Ponte Prefeito Lima de Castro,,2.0
Ilha do Retiro,Paissandu,Ponte Prefeito Lima de Castro,,2.0
Madalena,Paissandu,Ponte Prefeito Lima de Castro,,2.0
Santo Amaro,Santo Antônio,Ponte Princesa Izabel,,2.0
Graças,Madalena,Ponte Professor Moraes Rego,,2.0
Coelhos,Santo Antônio,Ponte Seis de Março,,2.0
Coelhos,São José,Ponte Seis de Março,,2.0
Prado,Zumbi,Rua Abdias de Oliveira,,4.0
Alto José Bonifácio,Alto Santa Terezinha,Rua Adustina,,3.0
Parnamirim,Tamarineira,Rua Afonso Celso,,2.6
Brejo de Beberibe,Nova Descoberta,Rua Agrolândia,,4.0
Alto Santa Terezinha,Bomba do Hemetério,Rua Airí,,4.0
Alto José Bonifácio,Morro da Conceição,Rua Alexânia,,3.0
Brejo da Guabiraba,Nova Descoberta,Rua Alpestre,,3.0
Coqueiral,Totó,Rua Alto do Paraíso,,4.0
Alto José Bonifácio,Linha do Tiro,Rua Alto Itaúna,,4.0
Torre,Zumbi,Rua Antônio Machado Gomes da Silva,,4.0
Coqueiral,Sancho,Rua Aprígio Guimarães,,2.0
Alto José do Pinho,Alto Santa Terezinha,Rua Arlindo Cisneiros,,2.6
Alto José do Pinho,Bomba do Hemetério,Rua Arlindo Cisneiros,,2.6
Brejo de Beberibe,Linha do Tiro,Rua Bismarck de Freitas,,2.0
Mangueira,San Martin,Rua Bom Jardim,,4.0
Coelhos,Ilha do Leite,Rua Capitão José da Luz,,2.0
Arruda,Campina do Barreto,Rua Celcina Maia Pereira,,4.0
Campina do Barreto,Água Fria,Rua Constança,,2.0
Alto José Bonifácio,Alto José do Pinho,Rua Córrego José Grande,,4.0
Hipódromo,Ponto de Parada,Rua Costa Pinto,,4.0
Boa Vista,Coelhos,Rua de São Gonçalo,,2.0
Bomba do Hemetério,Mangabeira,Rua Desembargador Heráclito Cavalcanti,,4.0
Apipucos,Monteiro,Rua Mandacaru,,2.0
Alto Santa Terezinha,Morro da Conceição,Rua Padre Oliveira,,2.6
Brejo de Beberibe,Dois Unidos,Rua Sitio Dos Nobres,,4.0
Jaqueira,Torre,Viaduto Governador Cordeiro de Farias,,3.0
